#                
# https://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/A%2bA/623/A108/               
#                
Cluster RA_ICRS DE_ICRS logA e E Dist_mod e E AV e E AGTO e E Fe/H r
Blanco1 0.853 -29.958 7.975 7.998 7.943 6.876 6.876 6.876 0.031 0.031 0.031 0.03 0.03 0.03 0 HRS
IC2391 130.292 -52.991 7.561 7.583 7.54 5.908 5.908 5.908 0.093 0.093 0.093 0.091 0.091 0.091 0 HRS
IC2602 160.613 -64.426 7.547 7.563 7.533 5.914 5.914 5.914 0.096 0.096 0.096 0.094 0.094 0.094 0 HRS
IC2714 169.373 -62.719 8.55 8.55 8.55 10.711 10.72 10.704 0.991 1 0.984 0.967 0.976 0.96 0.02 HRS
IC4665 266.554 5.615 7.581 7.636 7.55 7.45 7.495 7.395 0.397 0.43 0.364 0.388 0.42 0.355 -0.03 HRS
IC4756 279.649 5.435 8.987 8.992 8.973 8.401 8.401 8.401 0.397 0.397 0.397 0.388 0.388 0.388 0 HRS
Melotte20 51.617 48.975 7.938 7.944 7.933 5.824 5.842 5.804 0.055 0.073 0.038 0.054 0.071 0.037 0.14 HRS
Melotte22 56.601 24.114 7.937 7.966 7.925 5.667 5.667 5.667 0.14 0.14 0.14 0.137 0.137 0.137 0 HRS
Melotte71 114.383 -12.065 9.112 9.131 9.081 11.548 11.56 11.532 0.483 0.501 0.465 0.471 0.489 0.454 -0.27 HRS
NGC0188 11.798 85.244 9.877 9.878 9.876 11.114 11.13 11.098 0.079 0.09 0.068 0.077 0.088 0.066 0.11 HRS
NGC0752 29.223 37.794 9.17 9.172 9.169 8.091 8.111 8.072 0.157 0.171 0.142 0.153 0.167 0.139 -0.03 HRS
NGC1039 40.531 42.722 8.101 8.207 8.078 8.552 8.552 8.552 0.239 0.239 0.239 0.233 0.233 0.233 0 HRS
NGC1545 65.202 50.221 8.019 8.033 7.999 9.222 9.247 9.197 0.917 0.941 0.895 0.895 0.919 0.874 -0.06 HRS
NGC1662 72.198 10.882 8.957 8.982 8.931 7.84 7.868 7.81 0.615 0.641 0.592 0.6 0.626 0.578 -0.11 HRS
NGC1901 79.561 -68.294 8.918 8.948 8.891 8.059 8.087 8.032 0.146 0.168 0.123 0.143 0.164 0.12 -0.08 HRS
NGC1912 82.167 35.824 8.706 8.722 8.693 10.079 10.097 10.061 0.642 0.657 0.626 0.627 0.641 0.611 -0.1 HRS
NGC2168 92.272 24.336 8.605 8.607 8.604 9.329 9.343 9.321 0.467 0.473 0.458 0.456 0.462 0.447 -0.21 LRS
NGC2251 98.68 8.337 8.489 8.535 8.47 10.713 10.738 10.687 0.717 0.742 0.692 0.7 0.724 0.675 -0.09 HRS
NGC2287 101.499 -20.716 8.486 8.503 8.351 9.085 9.098 9.069 0.059 0.069 0.052 0.058 0.067 0.051 -0.11 HRS
NGC2420 114.602 21.575 9.271 9.276 9.219 12.049 12.076 12.021 0.187 0.216 0.168 0.183 0.211 0.164 -0.05 HRS
NGC2423 114.299 -13.863 8.991 8.992 8.99 9.843 9.857 9.83 0.291 0.303 0.277 0.284 0.296 0.27 0.08 HRS
NGC2425 114.577 -14.885 9.333 9.334 9.332 12.644 12.667 12.62 0.879 0.895 0.863 0.858 0.874 0.842 -0.15 LRS
NGC2447 116.141 -23.853 8.747 8.753 8.742 10.088 10.088 10.088 0.105 0.105 0.105 0.102 0.102 0.102 0 HRS
NGC2451A 115.736 -38.264 7.647 7.663 7.629 6.433 6.433 6.433 0 0 0 0 0 0 0 GES
NGC2451B 116.128 -37.954 7.592 7.604 7.576 7.602 7.631 7.573 0.208 0.232 0.183 0.203 0.226 0.179 0 GES
NGC2482 118.787 -24.263 8.55 8.615 8.532 10.572 10.601 10.545 0.359 0.381 0.334 0.35 0.372 0.326 -0.07 HRS
NGC2516 119.527 -60.8 8.4 8.405 8.394 8.091 8.091 8.091 0.22 0.22 0.22 0.215 0.215 0.215 0 HRS
NGC2527 121.246 -28.122 8.919 8.943 8.909 8.787 8.808 8.766 0.195 0.212 0.178 0.19 0.207 0.174 -0.1 HRS
NGC2547 122.525 -49.198 7.432 7.449 7.414 7.98 7.98 7.98 0.124 0.124 0.124 0.121 0.121 0.121 0 GES
NGC2567 124.645 -30.631 8.542 8.586 8.505 11.269 11.294 11.246 0.468 0.492 0.446 0.457 0.48 0.435 -0.04 HRS
NGC2632 130.054 19.621 8.875 8.877 8.871 6.35 6.35 6.35 0.084 0.084 0.084 0.082 0.082 0.082 0.07 HRS
NGC2682 132.846 11.814 9.561 9.563 9.559 9.726 9.726 9.726 0.115 0.115 0.115 0.112 0.112 0.112 0 HRS
NGC3532 166.417 -58.707 8.601 8.607 8.597 8.43 8.43 8.43 0.068 0.068 0.068 0.066 0.066 0.066 0 HRS
NGC4349 186.048 -61.866 8.451 8.493 8.404 11.492 11.508 11.476 1.161 1.176 1.146 1.133 1.148 1.119 -0.07 HRS
NGC5822 226.051 -54.366 8.95 8.951 8.95 9.537 9.551 9.522 0.349 0.36 0.339 0.341 0.351 0.331 0.08 HRS
NGC6005 238.955 -57.439 8.988 8.99 8.985 12.073 12.092 12.054 1.361 1.375 1.347 1.328 1.342 1.315 0.16 GES
NGC6087 244.721 -57.916 8.046 8.062 8.019 9.942 9.961 9.921 0.453 0.472 0.435 0.442 0.461 0.425 0.21 LRS
NGC6192 250.077 -43.355 8.251 8.252 8.242 11.219 11.237 11.197 1.731 1.744 1.715 1.69 1.702 1.674 0.12 HRS
NGC6475 268.447 -34.841 8.477 8.478 8.477 7.234 7.234 7.234 0.152 0.152 0.152 0.148 0.148 0.148 0.07 HRS
NGC6494 269.237 -18.987 8.68 8.681 8.679 9.096 9.113 9.081 0.851 0.864 0.837 0.831 0.843 0.817 -0.04 HRS
NGC6633 276.845 6.615 8.888 8.894 8.856 7.866 7.89 7.841 0.451 0.476 0.431 0.44 0.465 0.421 -0.08 HRS
NGC6791 290.221 37.778 9.927 9.929 9.925 13.085 13.091 13.078 0.302 0.306 0.297 0.295 0.299 0.29 0.4 HRS
NGC6811 294.34 46.378 8.936 8.948 8.915 10.277 10.289 10.266 0.206 0.215 0.199 0.201 0.21 0.194 0 HRS
NGC6819 295.327 40.19 9.301 9.302 9.301 12.162 12.172 12.151 0.471 0.477 0.466 0.46 0.466 0.455 0 HRS
Alessi5 160.819 -61.081 7.723 7.74 7.609 7.721 7.777 7.69 0.592 0.616 0.562 0.578 0.601 0.549 -0.133 D02
