Name      RAJ2000     DEJ2000     Rcore   logAge   eAge     E_BV    e_EBV     dist     e_dist
Xuyi 01   03 14 49    +59 12 56   1.98    8.85     0.05     0.82     0.44     2.09     0.30
Xuyi 02   03 52 04    +52 30 07   1.52    8.75     0.30     0.98     0.40     1.72     0.30
Xuyi 03   03 53 11    +54 26 38   0.84    8.70     0.40     1.09     0.02     2.64     0.60
Xuyi 04   04 25 17    +49 01 04   0.99    8.75     0.30     1.41     0.30     2.93     0.26
Xuyi 05   04 39 20    +48 11 57   1.17    8.95     0.30     1.36     0.18     3.80     0.95
Xuyi 06   04 51 23    +38 59 29   0.76    9.45     0.30     0.90     0.38     2.12     0.10
Xuyi 07   04 56 27    +50 17 41   0.71    9.00     0.20     0.91     0.22     4.44     0.68
Xuyi 08   05 18 41    +45 10 04   1.84    9.20     0.30     0.52     0.24     3.44     0.11
Xuyi 09   06 08 18    +28 04 13   3.09    8.55     0.15     0.37     0.08     5.78     1.92
Xuyi 10   06 14 57    +16 45 06   7.78    8.40     0.10     0.93     0.05     3.46     0.79
Xuyi 11   06 25 41    +11 09 56   8.93    7.85     0.15     0.39     0.02     1.46     0.11
Xuyi 12   06 28 16    +11 35 13   1.42    8.80     0.20     0.78     0.26     4.53     0.28
Xuyi 13   06 28 23    +12 25 54   1.62    8.70     0.10     0.62     0.19     3.31     0.57
Xuyi 14   06 32 04    +16 05 23   1.24    8.85     0.20     0.57     0.30     5.57     0.52
Xuyi 15   06 34 37    -08 51 59   1.69    8.85     0.15     0.58     0.37     7.59     0.57
Xuyi 16   06 42 23    -01 30 47   0.95    8.75     0.10     0.45     0.12     5.46     0.22
Xuyi 17   06 43 13    -04 51 46   1.73    8.55     0.05     0.48     0.12     9.16     1.23
Xuyi 18   06 43 52    +01 16 55   1.61    8.80     0.05     0.50     0.02     1.88     0.13
Xuyi 19   06 44 51    -09 26 02   0.98    8.75     0.15     0.56     0.03     5.99     1.09
Xuyi 20   06 49 28    +12 02 46   1.46    8.30     0.15     0.35     0.06     3.99     0.86
Xuyi 21   06 51 55    -11 27 42   0.66    8.90     0.20     1.37     0.42     5.58     0.06
Xuyi 22   07 02 49    -02 04 25   2.68    8.55     0.15     0.26     0.03     2.86     0.16
Xuyi 23   07 04 33    -11 15 33   2.75    8.85     0.15     0.90     0.14     7.44     0.94
Xuyi 24   07 05 24    -09 03 56   1.69    8.70     0.15     0.52     0.12     2.26     0.47
