#
# https://ui.adsabs.harvard.edu/abs/2019ApJS..245...32L/abstract
#
# https://vizier.cds.unistra.fr/viz-bin/VizieR?-source=J/ApJS/245/32
#
#RESOURCE=yCat_22450032
#Name: J/ApJS/245/32
#Title: Newly identified star clusters in Gaia DR2 (Liu+, 2019)
#Coosys	G:	galactic
#Table	J_ApJS_245_32_table1:
#Name: J/ApJS/245/32/table1
#Title: Parameters of the 2443 star cluster candidates identified by the Star cluster Hunting Pipeline (SHiP) in this work
#Column	ID	(I4)	[0/2442] Friend of Friend identifier	[ucd=meta.id;meta.main]
#Column	n_ID	(A1)	n: new (link to Table 3)	[ucd=meta.ref.url]
#Column	GLON	(F7.3)	Galactic longitude (G1)	[ucd=pos.galactic.lon]
#Column	e_GLON	(F6.3)	[0.01/1.3] Uncerainty in GLON	[ucd=stat.error]
#Column	GLAT	(F7.3)	[-23.31/23.1] Galactic latitude (G1)	[ucd=pos.galactic.lat]
#Column	e_GLAT	(F6.3)	[0.01/0.8] Uncerainty in GLAT	[ucd=stat.error]
#Column	rmax	(F6.3)	[0.05/3.6] Maximum cluster member's distance to average position	[ucd=pos.angDistance]
#Column	plx	(F6.3)	[0.2/6.6] Parallax (G1)	[ucd=pos.parallax.trig]
#Column	e_plx	(F6.3)	[0.006/0.3] The 1{sigma} uncertainty in plx	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F7.3)	[-24.7/16] Proper motion along RA times cos(DE) (G1)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	[0.1/1.2] The 1{sigma} uncertainty in pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F7.3)	[-26.7/23.4] Proper motion along DE (G1)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	[0.1/1.7] The 1{sigma} uncertainty in pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	nTot	(I5)	[50/10576] Total number of stars in primary sample	[ucd=meta.number]
#Column	Age	(F6.3)	[0.004/12.9] Star cluster age (G2)	[ucd=time.age]
#Column	e_Age	(F7.4)	[0.0002/0.8] The 1{sigma} uncertainty in Age	[ucd=stat.error;time.age]
#Column	Z	(F5.2)	[-2/0.5] Metallicity (G2)	[ucd=phys.abund.Z]
#Column	Class	(I1)	[1/3] Class code (1: likely genuine star cluster) (1)	[ucd=meta.code.class]
#Column	K13	(I4)	[0/3005]? Kharchenko+ 2013, J/A+A/558/A53 identifier (G3) [NULL integer written as an empty string]	[ucd=meta.id.cross]
#Column	CG18	(I4)	[2/1274]?=-1 Cantat-Gaudin+ 2018, J/A+A/618/A93 or 2019, J/A+A/624/A126 identifier (G3) [NULL integer written as an empty string]	[ucd=meta.id.cross]
#Column	B19	(I5)	[10/10931]? Bica+ 2019, J/AJ/157/12 identifier (G3) [NULL integer written as an empty string]	[ucd=meta.id.cross]
#Column	Name	(a17)	Other name	[ucd=meta.id]
#Column	G	(I3)	1: member of a star cluster group candidate [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	SimbadName	(a23)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#
ID;n_ID;GLON;e_GLON;GLAT;e_GLAT;rmax;plx;e_plx;pmRA;e_pmRA;pmDE;e_pmDE;nTot;Age;e_Age;Z;Class;K13;CG18;B19;Name;G;SimbadName;_RA.icrs;_DE.icrs
# ; ;deg;deg;deg;deg;deg;mas;mas;mas/yr;mas/yr;mas/yr;mas/yr; ;Gyr;Gyr;[Sun]; ; ; ; ; ; ; ;deg;deg
   0; ;186.181; 0.182;-13.025; 0.173; 0.817; 0.549; 0.058;  0.516; 0.252; -0.888; 0.221;  567; 1.410; 0.0846;-0.25;1; 352; 687; 5076;NGC_1817         ;  0;NGC 1817               ;078.1382;+16.7096
   1; ;184.719; 0.120;-13.510; 0.077; 0.470; 0.359; 0.052;  0.355; 0.224; -2.500; 0.220;  135; 1.320; 0.0792; 0.00;1;    ;    ; 5047;                 ;  0;                       ;076.8800;+17.6123
   2; ;226.034; 0.110;-16.126; 0.116; 0.461; 0.252; 0.039; -0.538; 0.237;  1.975; 0.282;  384; 1.380; 0.0828; 0.25;1; 576; 708; 6219;NGC_2204         ;  0;NGC 2204               ;093.8771;-18.6908
   3; ;239.472; 0.069;-18.018; 0.062; 0.331; 0.257; 0.048; -1.261; 0.151;  5.493; 0.164;  361; 3.390; 0.2034; 0.00;1; 625; 713; 6569;NGC_2243         ;  0;NGC 2243               ;097.3850;-31.2792
   4; ;259.574; 0.073;-14.278; 0.089; 0.384; 0.258; 0.040; -1.476; 0.200;  2.740; 0.255;  330; 2.690; 0.1614; 0.00;1; 917; 651; 7005;Melotte_66       ;  0;Melotte 66             ;111.5585;-47.6941
   5;n;292.316; 0.216;-12.736; 0.129; 0.559; 0.506; 0.026; -6.873; 0.177;  1.425; 0.215;  171; 3.160; 0.1896; 0.00;1;    ;    ;     ;                 ;  0;                       ;156.1448;-72.5080
   6; ;325.553; 0.032;-17.569; 0.035; 0.118; 0.242; 0.031; -5.552; 0.208; -4.683; 0.316;  126;10.700; 0.6420;-2.00;3;2106;    ; 9172;                 ;  0;                       ;262.9756;-67.0492
   7; ;000.069; 0.027;-17.299; 0.031; 0.133; 0.280; 0.054;  0.900; 0.379; -2.391; 0.401;  206; 0.851; 0.0511;-2.00;3;2420;    ;   10;                 ;  0;                       ;284.8881;-36.6325
   8; ;005.617; 0.034;-14.071; 0.069; 0.367; 0.281; 0.063; -2.958; 0.399; -1.410; 0.429;  176; 0.004; 0.0002; 0.50;3;2412;    ;  338;                 ;  0;                       ;283.7512;-30.4646
   9; ;008.793; 0.054;-23.268; 0.054; 0.265; 0.341; 0.120; -3.412; 0.404; -9.270; 0.366; 1798;12.900; 0.7740;-2.00;1;2506;    ;  473;                 ;  0;                       ;294.9949;-30.9632
  10; ;199.007; 0.086;-10.376; 0.049; 0.252; 0.364; 0.044;  0.981; 0.200; -1.497; 0.199;   91; 2.190; 0.1314;-0.25;1; 479; 245; 5423;Collinder_74     ;  0;Collinder 74           ;087.1669;+07.3857
  11; ;218.776; 0.068;-09.865; 0.045; 0.236; 0.276; 0.030; -0.273; 0.280;  0.553; 0.354;   93; 2.040; 0.1224;-0.50;1; 616; 710; 6013;NGC_2225         ;  0;NGC 2225               ;096.6442;-09.6368
  12; ;282.196; 0.026;-11.254; 0.029; 0.116; 0.281; 0.061;  0.939; 0.559;  0.484; 0.612;  261;12.900; 0.7740;-2.00;1;1272;    ; 7669;                 ;  0;                       ;138.0151;-64.8666
  13; ;300.996; 0.049;-09.882; 0.047; 0.201; 0.260; 0.049; -6.352; 0.299;  3.412; 0.269;  294; 0.741; 0.0445;-2.00;3;1611;    ; 8388;                 ;  0;                       ;186.4492;-72.6573
  14; ;338.162; 0.085;-11.964; 0.079; 0.390; 0.426; 0.126;  3.289; 0.433;-17.593; 0.432; 7570;12.900; 0.7740;-2.00;1;2141;    ; 9761;                 ;  0;                       ;265.1795;-53.6791
