GLON,GLAT,RAJ2000,DEJ2000,Diam-a,Diam-b,Name,Class1,Class2,Com,Code,recno
0.01,-1.9,17 53 09,-29 54 20,2,1.5,AL 2,OC   ,     ,                                ,REF213                                         ,2
0.02,-1.43,17 51 17,-29 39 04,1,1,VVV 151,OC   ,     ,                                ,REF1000                                        ,4
0.05,2.14,17 37 30,-27 45 37,2,2,Ryu 152,OC   ,     ,                                ,REF805                                         ,8
0.09,4.97,17 26 55,-26 11 23,1.8,1.8,Ryu 537,OC   ,     ,                                ,REF805                                         ,14
0.1,-0.05,17 46 04,-28 52 44,0.6,0.6,Ryu 153,OC   ,     ,                                ,REF805                                         ,16
0.13,4.59,17 28 25,-26 22 00,1.5,1.5,Ryu 538,OC   ,     ,                                ,REF805                                         ,23
0.14,-0.84,17 49 17,-29 14 55,12,10,Ruprecht 131,OC   ,     ,                                ,"REF239,REF234                                  ",27
0.16,5.19,17 26 16,-26 00 41,2.5,2.5,Ryu 539,OC   ,     ,                                ,REF805                                         ,30
0.21,-4.68,18 04 47,-31 06 43,2.4,2.4,Ryu 540,OC   ,     ,                                ,REF805                                         ,35
0.26,0.75,17 43 20,-28 19 26,2.5,2.5,Cmg 451,OC   ,     ,                                ,REF1620                                        ,38
0.27,-1.64,17 52 43,-29 32 40,6,4,Ruprecht 134,OC   ,     ,                                ,"REF239,REF882                                  ",41
0.36,-0.42,17 48 07,-28 51 08,1,1,Ryu 541,OC   ,     ,                                ,REF805                                         ,49
0.54,-0.55,17 49 06,-28 45 20,5,5,ESO 455-44,OC   ,     ,dust window?                    ,REF234                                         ,66
0.62,0.98,17 43 18,-27 53 51,0.7,0.7,DB 21,OC   ,     ,                                ,"REF098,REF126,REF1089                          ",86
0.66,-8.16,18 20 13,-32 21 06,15,15,Ferrero 1,OC   ,     ,                                ,"REF298,REF306,REF913,REF7000                   ",90
0.78,5.61,17 26 15,-25 16 00,1.7,1.7,Ryu 154,OC   ,     ,                                ,REF805                                         ,97
1.05,0.17,17 47 26,-27 57 03,4.2,4.2,Ryu 544,OC   ,     ,                                ,REF805                                         ,114
1.08,-2.73,17 58 55,-29 23 37,0.5,0.5,DB 25,OC   ,     ,                                ,"REF098,REF126,REF298                           ",115
1.1,-3.54,18 02 11,-29 47 04,2.4,2.4,Ryu 155,OC   ,     ,                                ,REF805                                         ,116
