#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-03-28T20:35:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5abbfaf67b29	
#INFO	-out.max=unlimited	
#INFO	queryParameters=28	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/MNRAS/432/3349/tableb1
#-nav=cat:J/MNRAS/432/3349&tab:{J/MNRAS/432/3349/tableb1}&key:source=J/MNRAS/432/3349/tableb1&HTTPPRM:&&-ref=VIZ5abbfaf67b29&-out.max=unlimited&-out.form=ascii - 999%27filled&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Cluster&-out=Phase&-out=RAJ2000&-out=DEJ2000&-out=AV&-out=e_AV&-out=Age&-out=e_Age&-out=Dist&-out=e_Dist&-out=RGC&-out=e_RGC&-out=xCG&-out=e_xCG&-out=yCG&-out=e_yCG&-out=zCG&-out=e_zCG&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/MNRAS/432/3349/tableb1
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/432/3349/tableb1
#-out=Cluster
#-out=Phase
#-out=RAJ2000
#-out=DEJ2000
#-out=AV
#-out=e_AV
#-out=Age
#-out=e_Age
#-out=Dist
#-out=e_Dist
#-out=RGC
#-out=e_RGC
#-out=xCG
#-out=e_xCG
#-out=yCG
#-out=e_yCG
#-out=zCG
#-out=e_zCG
#
#RESOURCE=yCat_74323349
#Name: J/MNRAS/432/3349
#Title: Galactic star clusters structural parameters (Camargo+, 2013)
#Table	J_MNRAS_432_3349_tableb1:
#Name: J/MNRAS/432/3349/tableb1
#Title: Derived fundamental parameters for clusters in Papers I, II, and III
#Column	Cluster	(a11)	Cluster name	[ucd=meta.id;meta.main]
#Column	Phase	(A3)	[EC OC ECt] Phase (1)	[ucd=meta.code]
#Column	RAJ2000	(A10)	Optimized central right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Optimized central declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	AV	(F5.2)	Absorption in V band	[ucd=phot.mag;em.opt.V]
#Column	e_AV	(F6.3)	rms uncertainty on AV in the cluster's central region	[ucd=stat.error]
#Column	Age	(I4)	Age from 2MASS photometry	[ucd=time.age]
#Column	e_Age	(I4)	rms uncertainty on Age	[ucd=stat.error;time.age]
#Column	Dist	(F5.2)	Heliocentric distance	[ucd=pos.distance]
#Column	e_Dist	(F5.2)	rms uncertainty on Dist	[ucd=stat.error]
#Column	RGC	(F5.2)	Galactocentric distance (2)	[ucd=pos.distance;pos.galactocentric]
#Column	e_RGC	(F5.2)	rms uncertainty on RGC	[ucd=stat.error]
#Column	xCG	(F6.2)	Galactocentric x position	[ucd=pos.cartesian.x;pos.galactic]
#Column	e_xCG	(F5.2)	rms uncertainty on xCG	[ucd=stat.error]
#Column	yCG	(F5.2)	Galactocentric y position	[ucd=pos.cartesian.y;pos.galactic]
#Column	e_yCG	(F5.2)	rms uncertainty on yCG	[ucd=stat.error]
#Column	zCG	(F5.2)	Galactocentric z position	[ucd=pos.cartesian.z;pos.galactic]
#Column	e_zCG	(F5.2)	rms uncertainty on zCG	[ucd=stat.error]
# | |"h:m:s"|"d:m:s"|mag|mag|Myr|Myr|kpc|kpc|kpc|kpc|kpc|kpc|kpc|kpc|kpc|kpc
Cluster|Phase|RAJ2000|DEJ2000|AV|e_AV|Age|e_Age|Dist|e_Dist|RGC|e_RGC|xCG|e_xCG|yCG|e_yCG|zCG|e_zCG
BDSB 71    |EC |05 40 51.0|+35 38 20.0| 3.77| 1.000|   3|   2| 2.00| 0.40| 9.16| 0.43| -9.02| 0.43| 0.19| 0.04| 0.10| 0.03
BDSB 72    |EC |05 40 54.0|+35 40 22.0| 3.77| 1.000|   3|   2| 2.10| 0.50| 9.26| 0.49| -9.26| 0.49| 0.21| 0.05| 0.12| 0.02
BDSB 73    |EC |05 40 55.0|+35 44 08.0| 3.77| 1.000|   3|   2| 2.10| 0.50| 9.32| 0.49| -9.32| 0.50| 0.22| 0.05| 0.12| 0.03
BPI 14     |EC |05 29 00.0|+34 24 00.0| 1.98| 0.200|   1|   1| 2.70| 0.30| 9.90| 0.30| -9.89| 0.30| 0.30| 0.03|-0.01| 0.01
CBB 1      |ECt|05 39 28.0|+35 40 49.0| 3.47| 0.900|  10|   5| 2.50| 0.20| 9.76| 0.12| -9.75| 0.12| 0.29| 0.01| 0.11| 0.01
CBB 2      |EC |05 40 58.0|+35 42 33.0| 3.97| 1.000|   3|   2| 1.90| 0.50| 9.11| 0.49| -9.11| 0.49| 0.22| 0.05| 0.09| 0.01
CBB 3      |EC |05 27 43.3|+34 32 36.0| 1.98| 0.200|   2|   1| 2.70| 0.30| 9.90| 0.30| -9.89| 0.30| 0.32| 0.03|-0.01| 0.01
CBB 4      |EC |05 28 29.3|+34 19 50.0| 1.98| 0.200|   2|   1| 2.70| 0.30| 9.90| 0.30| -9.89| 0.30| 0.30| 0.03|-0.01| 0.01
CBB 5      |EC |05 28 33.9|+34 28 37.0| 1.98| 0.200|   2|   1| 2.70| 0.30| 9.90| 0.30| -9.89| 0.30| 0.31| 0.03|-0.01| 0.01
CBB 6      |EC |05 29 19.0|+34 14 41.4| 2.98| 0.200|   2|   1| 2.70| 0.50| 9.93| 0.50| -9.92| 0.50| 0.30| 0.03| 0.00| 0.01
CBB 7      |EC |05 26 50.0|+34 43 10.0| 2.98| 0.200|   2|   1| 2.50| 0.50| 9.69| 0.50| -9.68| 0.50| 0.30| 0.03|-0.01| 0.01
CBB 8      |EC |05 15 50.0|+34 24 00.0| 3.57| 0.200|   2|   1| 2.40| 0.70| 9.61| 0.70| -9.60| 0.70| 0.34| 0.03|-0.10| 0.01
CBB 9      |EC |05 25 55.0|+34 50 54.0| 3.27| 0.200|   2|   1| 2.60| 0.50| 9.82| 0.50| -9.82| 0.50| 0.33| 0.03|-0.01| 0.01
Cz 22      |OC |05 48 57.0|+30 10 24.0| 1.98| 0.100| 200|  50| 2.60| 0.10| 9.80| 0.20| -9.79| 0.12| 0.03| 0.01|-0.06| 0.01
FSR 734    |ECt|05 03 22.6|+42 25 15.2| 2.18| 0.200|   2|   1| 2.60| 0.30| 9.77| 0.30| -9.74| 0.30| 0.72| 0.07| 0.02| 0.01
FSR 735    |OC |04 53 52.9|+40 51 42.0| 1.58| 0.100| 500| 100| 2.50| 0.10| 9.60| 0.10| -9.56| 0.10| 0.67| 0.03|-0.08| 0.01
FSR 761    |ECt|05 33 23.0|+39 50 44.0| 2.78| 0.200|   2|   1| 2.50| 0.30| 9.73| 0.30| -9.72| 0.30| 0.47| 0.04| 0.16| 0.02
FSR 777    |ECt|05 27 31.0|+34 44 01.0| 1.98| 0.200|   3|   2| 2.70| 0.30| 9.89| 0.30| -9.89| 0.30| 0.33| 0.03|-0.01| 0.01
FSR 780    |EC |05 27 26.0|+34 24 12.0| 1.98| 0.200|   2|   1| 2.70| 0.30| 9.90| 0.30| -9.89| 0.30| 0.31| 0.03|-0.01| 0.01
FSR 784    |ECt|05 40 46.0|+35 55 06.0| 3.97| 1.000|   5|   2| 2.40| 0.50| 9.60| 0.10| -9.60| 0.10| 0.27| 0.01| 0.12| 0.01
