

Results from heasarc_mwsc: Milky Way Star Clusters Catalog
Coordinate system:  Equatorial
|source_number|name             |broad_type|cluster_status|ra      |dec     |lii    |bii    |core_radius|central_radius|cluster_radius|pm_ra  |pm_dec |pm_tot_error|rad_vel |rad_vel_error|num_rad_vel_stars|num_core_stars|num_central_stars|num_cluster_stars|distance|e_bv   |distance_modulus|e_jk   |e_jh   |delta_h|log_age|log_age_error|num_log_age_stars|king_core_radius|king_core_radius_error|king_tidal_radius|king_tidal_radius_error|king_norm_factor|king_norm_factor_error|reference_code|cluster_type|metallicity|metallicity_error|num_metallicity_stars|comments                                                                                                                                                                                                                                                 |class                                              |
|         4688|MWSC 4688        |          |              |23 51 54|-86 43.2|303.907|-30.295|      0.020|         0.100|         0.185|   3.20|  -5.00|        1.13|        |             |                 |             2|               22|               57|    1336|  0.219|          10.700|  0.105|  0.070|  0.000|  9.390|             |                 |            1.05|                  0.39|             7.01|                   2.51|            2.51|                  0.67|AIPk          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         5684|MWSC 5684        |          |              |12 53 43|-86 38.9|302.968|-23.776|      0.020|         0.080|         0.155| -13.04|   0.17|        1.05|        |             |                 |             3|               19|               52|    1432|  0.375|          10.900|  0.180|  0.120|  0.020|  9.180|        0.023|                3|            0.61|                  0.42|             7.54|                   5.79|            1.88|                  1.09|ARIs          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         5692|MWSC 5692        |          |              |17 47 20|-86 36.6|306.562|-26.146|      0.025|         0.095|         0.135|  -6.22|  -9.02|        1.38|        |             |                 |             4|               18|               28|    1555|  0.437|          11.100|  0.210|  0.140|  0.020|  8.930|             |                 |            0.76|                  0.56|             5.18|                   3.82|            1.51|                  0.77|ARIs          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         4005|MWSC 4005        |          |              |00 11 28|-85 28.8|303.852|-31.577|      0.012|         0.100|         0.165|   9.31|  -1.47|        0.95|        |             |                 |             3|               26|               42|    1159|  0.250|          10.400|  0.120|  0.080| -0.020|  9.375|             |                 |            0.36|                  0.13|             4.69|                   1.85|           15.94|                  6.19|AIPk          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         4176|MWSC 4176        |          |              |14 27 18|-85 25.2|304.950|-22.929|      0.025|         0.150|         0.280|  -9.41|   0.12|        0.69|        |             |                 |             4|               53|              155|    1093|  0.333|          10.300|  0.160|  0.107| -0.030|  9.315|             |                 |            0.97|                  0.24|             6.84|                   1.58|            6.46|                  1.31|AIPk          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         2260|ESO 008-06       |r         |c             |14 56 55|-83 26.7|306.593|-21.485|      0.025|         0.130|         0.185|  -5.26|  -4.21|        0.80|        |             |                 |             5|               46|               78|    1380|  0.312|          10.800|  0.150|  0.100|  0.030|  9.300|             |                 |            0.66|                  0.25|             5.60|                   2.18|            5.93|                  1.91|DIAS          |            |           |                 |                    0|Sparse; center is shifted to 14.9485h,-83.445d.                                                                                                                                                                                                          |                                  OPEN STAR CLUSTER|
|         4219|MWSC 4219        |          |              |15 42 14|-83 11.7|307.905|-22.041|      0.015|         0.115|         0.200|  -9.26|  -3.14|        0.74|        |             |                 |             2|               36|               95|    1606|  0.375|          11.150|  0.180|  0.120|  0.020|  9.100|             |                 |            2.81|                  0.76|             9.78|                   2.13|            1.71|                  0.41|AIPk          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         5575|MWSC 5575        |          |              |01 59 42|-83 03.0|300.484|-33.751|      0.015|         0.090|         0.150|   6.33|  -2.50|        1.96|        |             |                 |             1|               10|               20|    2191|  0.302|          11.800|  0.145|  0.097|  0.015|  9.200|             |                 |            1.95|                  1.00|            12.13|                   6.13|            0.79|                  0.18|ARIs          |            |           |                 |                    0|Poor RDP.                                                                                                                                                                                                                                                |                                  OPEN STAR CLUSTER|
|         4682|MWSC 4682        |          |              |23 43 23|-82 57.6|305.407|-33.838|      0.020|         0.115|         0.190|   5.87|   0.28|        0.94|        |             |                 |             2|               22|               58|    1065|  0.354|          10.250|  0.170|  0.113|  0.000|  9.280|        0.061|                4|            0.43|                  0.24|             8.27|                   5.39|            5.33|                  3.02|AIPk          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         2263|IC 4499          |g         |o             |15 00 18|-82 12.8|307.353|-20.473|      0.030|         0.085|         0.140|  -5.39|  -7.53|        1.11|   31.50|         0.40|                 |             8|               27|               50|   18804|  0.229|          16.445|  0.110|  0.073|  0.000| 10.100|             |                 |           16.01|                  4.14|            80.25|                  19.09|            0.03|                      |HARR          |glo         |     -1.445|                 |                   27|PMs in center are poor/absent due to crowding; looks like as hole in clouds.                                                                                                                                                                             |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
