#
# http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=B/ocl/clusters
#
"P","Cluster","RAJ2000","DEJ2000","Class","Diam","Dist","E(B-V)","Age","pmRA","e_pmRA","pmDE","e_pmDE","Nc","K14","RV","e_RV","o_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","TrType","WEBDA","Lynga","recno","r_pmRA","r_RV"
"P","Berkeley 58      ","00 00 12","+60 58 00","  ",11,2700,0.72,8.47,0.56,0.26,1.56,0.26,88,"K14",-87,1.78,1,"      ","      ","  ","        ","WEBDA","Lynga",1,"K14","D14"
" ","NGC 7801         ","00 00 21","+50 44 30","r ",8,1275,0.17,9.23,-3.56,0.36,-2.6,0.24,85,"K14","       ","     ","   ","      ","      ","  ","4-3-p-* ","WEBDA","Lynga",2,"D14",
" ","FSR 0459         ","00 00 39","+59 14 20","IR",2,3800,1.103,8.95,-1.66,0.59,-0.01,0.59,8,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",3,"K12",
" ","Stock 18         ","00 01 37","+64 37 30","  ",6,1242,0.71,8.1,-2.78,0.15,-0.15,0.08,109,"K14","       ","     ","   ","      ","      ","  ","4-2-p-* ","WEBDA","Lynga",4,"D14",
" ","Berkeley 59      ","00 02 14","+67 25 00","  ",10,1000,1.241,6.1,-2.11,0.81,-1.2,0.75,2,"K14",-5.17,9.48,3,"      ","      ","  ","3-3-m-n ","WEBDA","Lynga",5,"BDW","D14"
" ","Berkeley 104     ","00 03 30","+63 35 00","  ",3,4365,0.45,8.89,-2.35,0.31,-0.3,0.03,76,"K14","       ","     ","   ",0.07,"      ","  ","4-2-p-* ","WEBDA","Lynga",6,"D14",
"P","Blanco 1         ","00 04 07","-29 50 00","  ",70,269,0.01,7.796,20.17,0.51,3,0.51,27,"K14",5.53,0.11,49,0.04,0.02,8,"        ","WEBDA","Lynga",7,"TYC","M09"
" ","Stock 19         ","00 04 41","+56 05 00","  ",4,"     ","      ","      ",1.43,0.58,-2.04,0.19,42,"K14","       ","     ","   ","      ","      ","  ","2-2-p-* ","WEBDA","Lynga",8,"D14",
" ","NGC 7826         ","00 05 17","-20 41 30","r ",20,620,0.03,9.34,6.48,1.97,-6.2,1.18,39,"K14",-4.62,2.39,1,"      ","      ","  ","4-2-p-* ","WEBDA","Lynga",9,"D14","D14"
" ","Majaess 1        ","00 07 22","+64 58 22","IR",5,"     ","      ","      ",4.63,0.64,1.72,0.48,20,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",10,"D14",
" ","Czernik 1        ","00 07 38","+61 28 30","  ",2.5,2530,1.23,6.7,-3.83,0.86,1.66,0.86,5,"K14","       ","     ","   ","      ","      ","  ","4-2-m-* ","WEBDA","Lynga",11,"K12",
" ","SAI 1            ","00 08 20","+51 43 15","  ",4,2170,0.34,9.1,0.31,0.92,-0.88,0.53,35,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",12,"D14",
"P","Berkeley 1       ","00 09 36","+60 28 30","  ",5,2420,0.78,8.6,-1.83,0.37,-0.75,0.27,135,"K14","       ","     ","   ","      ","      ","  ","3-1-p-* ","WEBDA","Lynga",13,"D14",
" ","ASCC 1           ","00 09 36","+62 40 48","  ",24,4000,0.16,8.25,-3.27,0.08,1.19,0.04,1189,"K14",-74.1,0.39,3,"      ","      ","  ","        ","WEBDA","Lynga",14,"D14","D14"
"P","King 13          ","00 10 06","+61 10 00","  ",5,3100,0.82,8.5,-4.15,0.11,-2.46,0.02,127,"K14","       ","     ","   ","      ","      ","  ","2-2-m-* ","WEBDA","Lynga",15,"D14",
" ","Alessi 20        ","00 10 34","+58 45 36","e ",40,600,0.22,6.48,8.73,0.53,-3.11,0.53,17,"K14",-11.5,4.2,1,"      ","      ","  ","        ","WEBDA","Lynga",16,"MAD","D14"
