|                                                    name |         ra_h |         dec_d | WEBDA | OPENCLUST | Camargo | MWSC |   N_d |    dist_pc |      lon_d |      lat_d |       x_pc |       y_pc |       z_pc |
|                   Berkeley 58, Berkeley 58, Berkeley 58 |     0h00m14s |     60d57m00s |   230 |         0 |      -- | 2664 |     3 |    3038.33 |   116.7541 |    -1.3061 |   -9667.56 |    2712.37 |     -37.80 |
|                            NGC 7801, NGC 7801, NGC 7801 |   0h00m20.5s |     50d44m03s |  1431 |         1 |      -- | 2425 |     3 |    1076.00 |   114.7266 |   -11.3217 |   -8741.96 |     958.33 |    -182.80 |
|                                      FSR 0459, FSR 0459 |     0h00m35s |     59d14m25s |    -- |         2 |      -- | 2598 |     2 |    3363.00 |   116.4604 |    -2.9910 |   -9796.95 |    3006.60 |    -143.61 |
|                            Stock 18, Stock 18, Stock 18 |     0h01m36s |     64d37m30s |  1675 |         3 |      -- | 2783 |     3 |    1605.33 |   117.6228 |     2.2682 |   -9043.47 |    1421.24 |      92.96 |
|                   Berkeley 59, Berkeley 59, Berkeley 59 |  0h02m13.75s |  67d25m17.75s |   231 |         4 |      -- | 2804 |     3 |    1000.00 |   118.2215 |     5.0010 |   -8770.75 |     877.77 |     115.71 |
|                Berkeley 104, Berkeley 104, Berkeley 104 |     0h03m27s |     63d34m54s |   185 |         5 |      -- | 2760 |     3 |    4109.67 |   117.6244 |     1.2055 |  -10204.78 |    3640.39 |     119.66 |
|                            Blanco 1, Blanco 1, Blanco 1 |   0h03m49.5s |    -29d55m00s |   330 |         6 |      -- | 1021 |     3 |     262.67 |    15.2053 |   -79.1822 |   -8253.22 |      12.93 |    -231.15 |
|                                         IRAS 00013+6817 |     0h03m59s |     68d33m54s |    -- |        -- |      -- | 2813 |     1 |    1338.00 |   118.5987 |     6.0934 |   -8936.34 |    1168.12 |     171.10 |
|                                      Stock 19, Stock 19 |     0h04m41s |     56d05m00s |  1676 |         7 |      -- |   -- |     2 |        nan |   116.4028 |    -6.1946 |        nan |        nan |        nan |
|                                      NGC 7826, NGC 7826 |     0h05m17s |    -20d41m30s |  1432 |         8 |      -- |   -- |     2 |     310.00 |    61.8749 |   -77.6529 |   -8269.69 |      58.46 |    -275.93 |
|                                                FSR 0504 |     0h05m49s |     81d50m24s |    -- |        -- |      -- | 2851 |     1 |    3744.00 |   121.2296 |    19.1195 |  -10130.03 |    3024.88 |    1259.27 |
|                                                NGC 7833 |     0h06m31s |     27d38m30s |  1433 |        -- |      -- |   -- |     1 |        nan |   110.8951 |   -34.1779 |        nan |        nan |        nan |
|                                                  BDB 94 |     0h06m43s |     65d37m42s |    -- |        -- |      -- | 2790 |     1 |    1700.00 |   118.3357 |     3.1565 |   -9105.30 |    1494.04 |     123.23 |
|                                               Majaess 1 |     0h07m22s |     64d58m22s |    -- |         9 |      -- |   -- |     1 |        nan |   118.2900 |     2.4990 |        nan |        nan |        nan |
|                         Czernik 1, Czernik 1, Czernik 1 |     0h07m37s |     61d28m57s |   432 |        10 |      -- | 2685 |     3 |    1713.00 |   117.7255 |    -0.9455 |   -9096.88 |    1516.12 |       1.33 |
|                                            SAI 1, SAI 1 |   0h08m23.5s |   51d43m19.5s |    -- |        11 |      -- | 2448 |     2 |    2037.50 |   116.1742 |   -10.5840 |   -9184.62 |    1797.46 |    -344.36 |
|                      Berkeley 1, Berkeley 1, Berkeley 1 |     0h09m36s |     60d28m15s |   179 |        12 |      -- | 2638 |     3 |    5046.67 |   117.7954 |    -1.9830 |  -10652.44 |    4461.70 |    -139.97 |
|                                  ASCC 1, ASCC 1, ASCC 1 |  0h09m37.25s |     62d41m30s |    29 |        13 |      -- | 2736 |     3 |    3200.00 |   118.1567 |     0.2083 |   -9809.93 |    2821.29 |      43.55 |
|                               King 13, King 13, King 13 |   0h10m04.5s |     61d10m30s |   814 |        14 |      -- | 2670 |     3 |    3100.00 |   117.9658 |    -1.2973 |   -9753.53 |    2737.30 |     -38.45 |
|                         Alessi 20, Alessi 20, Alessi 20 |  0h10m36.75s |  58d45m14.75s |    11 |        15 |      -- | 2581 |     3 |     506.67 |   117.6472 |    -3.6981 |   -8534.68 |     447.88 |      -4.92 |
|                                      FSR 0474, FSR 0474 |   0h10m48.5s |     59d44m28s |    -- |        16 |      -- | 2608 |     2 |    4638.00 |   117.8278 |    -2.7274 |  -10463.30 |    4096.99 |    -186.65 |
|                                               MWSC 4005 |     0h11m28s |    -85d28m48s |    -- |        -- |      -- |    3 |     1 |    1159.00 |   303.8517 |   -31.5767 |   -7751.91 |    -820.02 |    -581.68 |
|                                      FSR 0480, FSR 0480 |     0h14m56s |   61d28m20.5s |    -- |        17 |      -- | 2684 |     2 |    5492.00 |   118.5869 |    -1.0910 |  -10927.67 |    4821.61 |     -69.02 |
|                                                   PTB 7 |     0h15m12s |     68d19m06s |    -- |        -- |      -- | 2810 |     1 |    3233.00 |   119.5805 |     5.6827 |   -9887.02 |    2797.80 |     352.30 |
|                                                 BDSB 48 |     0h15m27s |     61d15m36s |    -- |        -- |      -- | 2673 |     1 |    8000.00 |   118.6184 |    -1.3100 |  -12131.31 |    7020.80 |    -143.42 |
|                    Juchert Saloran 1, Juchert-Saloran 1 |     0h16m20s |   59d57m42.5s |    -- |        18 |      -- | 2617 |     2 |    4592.50 |   118.5471 |    -2.6107 |  -10493.01 |    4029.98 |    -175.05 |
|                                               Majaess 8 |     0h16m43s |     64d30m21s |    -- |        19 |      -- |   -- |     1 |        nan |   119.2054 |     1.8856 |        nan |        nan |        nan |
|                   Berkeley 60, Berkeley 60, Berkeley 60 |     0h17m42s |     60d56m00s |   233 |        20 |      -- | 2665 |     3 |    4009.67 |   118.8438 |    -1.6703 |  -10233.86 |    3510.73 |     -83.58 |
|                                  ASCC 2, ASCC 2, ASCC 2 |  0h19m40.75s |  55d40m38.75s |    71 |        21 |      -- | 2527 |     3 |    1567.00 |   118.4321 |    -6.9166 |   -9041.21 |    1367.96 |    -159.29 |
|                             FSR 0486, FSR 486, FSR 0486 |     0h20m23s |   59d19m29.5s |    -- |        22 |      61 | 2600 |     3 |    3633.33 |   118.9735 |    -3.3080 |  -10057.70 |    3173.30 |    -176.94 |
|                                               Majaess 9 |     0h21m13s |     63d19m28s |    -- |        23 |      -- |   -- |     1 |        nan |   119.5477 |     0.6514 |        nan |        nan |        nan |
|                                                FSR 0479 |     0h21m15s |     54d49m36s |    -- |        -- |      -- | 2510 |     1 |    2038.00 |   118.5524 |    -7.7882 |   -9265.95 |    1773.63 |    -246.03 |
|                               Mayer 1, Mayer 1, Mayer 1 |   0h21m58.5s |     61d44m36s |   920 |        24 |      -- | 2697 |     3 |    1429.67 |   119.4518 |    -0.9292 |   -9002.89 |    1244.75 |       6.10 |
|                                  King 1, King 1, King 1 |     0h22m04s |     64d22m55s |   810 |        25 |      -- | 2779 |     3 |    1546.33 |   119.7628 |     1.6911 |   -9067.08 |    1341.77 |      75.13 |
|                                                FSR 0477 |     0h22m59s |     51d53m00s |    -- |        -- |      -- | 2453 |     1 |    1908.00 |   118.4696 |   -10.7417 |   -9194.70 |    1647.88 |    -325.71 |
|                                            SAI 4, SAI 4 |     0h23m39s |     62d42m25s |    -- |        26 |      -- | 2737 |     2 |    1600.00 |   119.7526 |     0.0069 |   -9093.96 |    1389.08 |      29.78 |
|                              NGC 0103, NGC 103, NGC 103 |   0h25m10.5s |     61d19m54s |   937 |        28 |      -- | 2677 |     3 |    2851.00 |   119.7865 |    -1.3796 |   -9716.05 |    2473.62 |     -37.03 |
|                            Stock 20, Stock 20, Stock 20 |     0h25m15s |  62d36m35.75s |  1678 |        27 |      -- | 2731 |     3 |    1036.33 |   119.9252 |    -0.1088 |   -8816.95 |     898.17 |      26.71 |
|                      Berkeley 2, Berkeley 2, Berkeley 2 |     0h25m17s |     60d23m27s |   194 |        29 |      -- | 2632 |     3 |    5333.00 |   119.7040 |    -2.3169 |  -10941.08 |    4628.44 |    -180.00 |
|                                      FSR 0494, FSR 0494 |   0h25m36.5s |     63d45m14s |    -- |        30 |      -- | 2763 |     2 |    5087.00 |   120.0807 |     1.0252 |  -10848.94 |    4401.18 |     126.31 |
|                                      FSR 0496, FSR 0496 |     0h26m50s |     64d01m54s |    -- |        31 |      -- | 2768 |     2 |    1123.00 |   120.2420 |     1.2885 |   -8865.33 |     969.92 |      54.09 |
|                              NGC 0110, NGC 110, NGC 110 |     0h27m25s |     71d24m09s |   938 |        32 |      -- | 2829 |     3 |     963.33 |   120.9980 |     8.6210 |   -8790.00 |     816.43 |     173.00 |
|                                            SAI 6, SAI 6 |     0h27m54s |   60d40m58.5s |    -- |        33 |      -- | 2653 |     2 |    2900.00 |   120.0526 |    -2.0572 |   -9751.65 |    2508.52 |     -72.38 |
|                                                FSR 0481 |     0h28m56s |     43d16m42s |    -- |        -- |      -- | 2322 |     1 |    2164.00 |   118.5921 |   -19.4037 |   -9279.09 |    1792.18 |    -688.75 |
|                                      FSR 0498, FSR 0498 |   0h29m09.5s |   62d24m43.5s |    -- |        34 |      -- | 2725 |     2 |    1800.00 |   120.3556 |    -0.3482 |   -9209.63 |    1553.20 |      19.02 |
|                                                FSR 0503 |     0h29m26s |     68d53m36s |    -- |        -- |      -- | 2816 |     1 |    4701.00 |   120.9423 |     6.1066 |  -10701.73 |    4009.10 |     534.91 |
|                              NGC 0129, NGC 129, NGC 129 |     0h30m05s |     60d12m39s |   939 |        35 |      -- | 2627 |     3 |    1645.00 |   120.2799 |    -2.5509 |   -9128.82 |    1419.17 |     -43.52 |
|                            Stock 21, Stock 21, Stock 21 |     0h30m11s |     57d55m36s |  1679 |        36 |      -- | 2563 |     3 |    1500.00 |   120.1032 |    -4.8283 |   -9050.03 |    1293.08 |     -96.81 |
|                                          ASCC 3, ASCC 3 |   0h31m08.5s |   55d16m47.5s |    82 |        37 |      -- |   -- |     2 |    1700.00 |   120.0197 |    -7.4771 |   -9143.94 |    1459.44 |    -191.47 |
|                              NGC 0133, NGC 133, NGC 133 |     0h31m18s |     63d20m51s |   940 |        38 |      -- | 2756 |     3 |    1040.33 |   120.6758 |     0.5640 |   -8830.65 |     894.71 |      38.97 |
|                              NGC 0136, NGC 136, NGC 136 |     0h31m34s |   61d30m34.5s |   941 |        39 |      -- | 2687 |     3 |    4653.00 |   120.5639 |    -1.2708 |  -10665.74 |    4005.54 |     -68.49 |
|                               King 14, King 14, King 14 |  0h32m00.75s |     63d10m17s |   815 |        40 |      -- | 2751 |     3 |    2717.67 |   120.7422 |     0.3823 |   -9689.06 |    2335.72 |      49.65 |
|                               King 15, King 15, King 15 |     0h32m51s |     61d52m42s |   816 |        41 |      -- | 2701 |     3 |    3941.33 |   120.7432 |    -0.9144 |  -10314.66 |    3387.02 |     -29.34 |
|                              NGC 0146, NGC 146, NGC 146 |  0h32m57.25s |  63d18m41.25s |   942 |        42 |      -- | 2755 |     3 |    3100.67 |   120.8582 |     0.5142 |   -9890.17 |    2661.63 |      60.00 |
|                                             Patchick 78 |     0h33m10s |     65d07m00s |    -- |        43 |      -- |   -- |     1 |    1507.00 |   121.0100 |     2.3131 |   -9075.51 |    1290.56 |      90.35 |
|                              NGC 0189, NGC 189, NGC 189 |     0h39m32s |     61d06m09s |   944 |        44 |      -- | 2669 |     3 |     934.67 |   121.4936 |    -1.7360 |   -8788.09 |     796.62 |       0.27 |
|                            Stock 24, Stock 24, Stock 24 |     0h39m44s |     61d57m27s |  1681 |        45 |      -- | 2707 |     3 |    2678.67 |   121.5566 |    -0.8830 |   -9701.77 |    2282.29 |      -9.72 |
|                                                FSR 0505 |     0h40m04s |     61d35m52s |    -- |        46 |      -- |   -- |     1 |        nan |   121.5798 |    -1.2441 |        nan |        nan |        nan |
|                                  Dolidze 12, Dolidze 12 |     0h40m53s |     60d51m09s |   496 |        -- |      -- | 2661 |     2 |    2000.00 |   121.6463 |    -1.9929 |   -9348.89 |    1701.58 |     -39.14 |
|                                      FSR 0508, FSR 0508 |     0h41m56s |     64d58m08s |    -- |        47 |      -- | 2787 |     2 |    5277.00 |   121.9261 |     2.1157 |  -11088.01 |    4475.70 |     230.89 |
|                                  Dias 1, Dias 1, Dias 1 |     0h42m36s |   64d03m50.5s |   473 |        48 |      -- | 2770 |     3 |    1855.33 |   121.9656 |     1.2089 |   -9281.83 |    1573.65 |      69.34 |
|                              NGC 0225, NGC 225, NGC 225 |   0h43m25.5s |     61d46m42s |   945 |        49 |      -- | 2698 |     3 |     721.33 |   121.9846 |    -1.0787 |   -8682.01 |     611.72 |      14.66 |
|                         Czernik 2, Czernik 2, Czernik 2 |     0h43m42s |     60d09m03s |   443 |        50 |      -- | 2624 |     3 |    2091.67 |   121.9682 |    -2.7064 |   -9406.46 |    1772.47 |     -68.17 |
|                               King 16, King 16, King 16 |   0h43m48.5s |     64d10m58s |   817 |        51 |      -- | 2774 |     3 |    2055.00 |   122.1012 |     1.3233 |   -9391.56 |    1740.35 |      78.01 |
|                                                FSR 0507 |     0h44m02s |     52d21m36s |    -- |        -- |      -- | 2461 |     1 |    2203.00 |   121.7823 |   -10.4952 |   -9442.15 |    1841.34 |    -370.57 |
|                      Berkeley 4, Berkeley 4, Berkeley 4 |   0h45m02.5s |   64d22m59.5s |   214 |        52 |      -- | 2778 |     3 |    2740.00 |   122.2404 |     1.5200 |   -9760.91 |    2316.72 |     104.44 |
|                              NGC 0188, NGC 188, NGC 188 |     0h47m26s |     85d15m18s |   943 |        53 |      -- | 2854 |     3 |    1920.33 |   122.8424 |    22.3839 |   -9260.55 |    1491.83 |     761.41 |
|                                               MWSC 5533 |     0h48m23s |     41d36m00s |    -- |        -- |      -- | 2285 |     1 |    2853.00 |   122.3191 |   -21.2681 |   -9724.74 |    2246.82 |   -1003.25 |
|                   Berkeley 61, Berkeley 61, Berkeley 61 |   0h48m24.5s |     67d11m48s |   234 |        54 |      -- | 2803 |     3 |    3095.33 |   122.6376 |     4.3267 |   -9963.81 |    2599.15 |     265.94 |
